lines of code,class,print(,__future__,xrange, range,"u""",print ,unicode(,__next__(,raw_input(,explanation
"def stop(self, brake = False):",2,,,,,,,,,,
"label.grid(row=4, column=3, columnspan=5, sticky=u'w')",2,,,,,u'w'),,,,,u'w')
"@_(u""statements"")",2,,,,,"u""statements"")",,,,,"u""statements"")"
opUI_Button = '\x83',2,,,,,,,,,,
port_str = u'PORT_A',2,,,,,u'PORT_A',,,,,u'PORT_A'
"elif tone.startswith(u""f""):",2,,,,,"u""f""):",,,,,"u""f""):"
else: brake =  False,2,,,,,,,,,,
"label.grid(row=1, column=4, sticky=u'w')",2,,,,,u'w'),,,,,u'w')
"NonECT = __builtins__.long(""00"", 2) # Non ECN-Capable Transport, Non-ECT",2,,,,,,,,,,
PIXEL = '\x02',2,,,,,,,,,,
else: port_right =  PORT_D,2,,,,,,,,,,
print,2,,,,,,,,,,
BUTTONTYPES = '\x08',2,,,,,,,,,,
"connection.send(data.encode() if isinstance(data, unicode) else data)",2,,,,,,,,,,
"src2 = resource_path(os.path.join(u'src', src2a))",2,,,,,"u'src',",,,,,"u'src',"
from __future__ import absolute_import,2,,__future__ ,,,,,,,,__future__ 
raise TypeError(u'Expected a <file>'),2,,,,,u'Expected,,,,,u'Expected
"@_retry(_RETRIES, u'get extended dfu version', _serial_flush)",2,,,,,u'get,,,,,u'get
ret_type = self.type_map[u'int'],2,,,,,u'int'],,,,,u'int']
"choice = raw_input(u""Enter an option: "")",2,,,,,"u""Enter",,,,raw_input(,"u""Enter raw_input("
if 'temperament' in _3to2kwargs: temperament = _3to2kwargs['temperament']; del _3to2kwargs['temperament'],2,,,,,,,,,,
WARN_TEMP = '\x0B',2,,,,,,,,,,
"def __init__(self, family = AddressFamily.AF_INET, type = SocketKind.SOCK_STREAM, proto = 0, fileno = None,",2,,,,,,,,,,
os.chdir(u'raw'),2,,,,,u'raw'),,,,,u'raw')
u'volume must be in range [0 - 100]',2,,,,,u'volume,,,,,u'volume
"u"" when writing file "" +",2,,,,,"u"" when",,,,,"u"" when"
print resp,2,,,,,,print resp,,,,print resp
u'Select the s1a-cal-aux.xml file '],2,,,,,u'Select,,,,,u'Select
"def __init__(self, url, headers = {}):",2,,,,,,,,,,
+u':S1_'+data_date[j]+u'_ALL_F'+iw[-1]+u'\n'),2,,,,,u':S1_'+data_date[j]+u'_ALL_F'+iw[-1]+u'\n'),,,,,u':S1_'+data_date[j]+u'_ALL_F'+iw[-1]+u'\n')
"assert isinstance(value, int), u""sleep needs to be of type int""",2,,,,,"u""sleep",,,,,"u""sleep"
erase_command = commands.add_parser(u'erase'),2,,,,,u'erase'),,,,,u'erase')
"def go(self, address):",2,,,,,,,,,,
def _serial_flush(self):,2,,,,,,,,,,
"u""5"": self.quit",2,,,,,"u""5"":",,,,,"u""5"":"
port_str = u'PORT_B',2,,,,,u'PORT_B',,,,,u'PORT_B'
BTTYPE_UNKNOWN = '\x06'  # Bluetooth type UNKNOWN,2,,,,,,,,,,
print f'Erasing {erase_size} bytes from {args.address}...',2,,,,,,print f'Erasing {erase_size} bytes from {args.address}...',,,,print f'Erasing {erase_size} bytes from {args.address}...'
opRl8 = '\x2C',2,,,,,,,,,,
GET_TYPEMODE = '\x05',2,,,,,,,,,,
if platform.system() == u'Darwin':,2,,,,,u'Darwin':,,,,,u'Darwin':
"data = ''.join([random.randint(0, 255).to_bytes(1, u'big')",2,,,,,u'big'),,,,,u'big')
GRAPH_DRAW = '\x1F',2,,,,,,,,,,
TST_ACCU_SWITCH = '\x13',2,,,,,,,,,,
"u""host needs to be of type str""",2,,,,,"u""host",,,,,"u""host"
u'brake needs to be a boolean',2,,,,,u'brake,,,,,u'brake
"u""ops must not be empty""",2,,,,,"u""ops",,,,,"u""ops"
"assert isinstance(protocol, unicode), \",2,,,,,,,,,,
"return self._physical_ev3._introspection[u""name""]",2,,,,,"u""name""]",,,,,"u""name""]"
"(u""f'"", .5),",2,,,,,"u""f'"",",,,,,"u""f'"","
version = u'0.9',2,,,,,u'0.9',,,,,u'0.9'
"print u""Allowance = {0} in\n"".format(unicode(round(allowance,4)))",2,,,,,"u""Allowance","print u""Allowance = {0} in\n"".format(unicode(round(allowance,4)))",unicode(,,,"u""Allowance print u""Allowance = {0} in\n"".format(unicode(round(allowance,4))) unicode("
opMove8_8 = '\x30',2,,,,,,,,,,
buf = bytearray((u' ' * n).encode(u'ascii')),2,,,,,u' ',,,,,u' '
"u""radius_wheel needs to be a number""",2,,,,,"u""radius_wheel",,,,,"u""radius_wheel"
"assert value in (1, -1), u""allowed polarity_left values are: -1 or 1""",2,,,,,"u""allowed",,,,,"u""allowed"
"message = dns.message.make_query(arguments.get(u""query""), arguments.get(u""rdtype""), **kwargs)",2,,,,,"u""query""),",,,,,"u""query""),"
"host = None,",2,,,,,,,,,,
u'unlimited' in self._current_movement,2,,,,,u'unlimited',,,,,u'unlimited'
print f'Dumping {args.size} bytes from {args.address}...',2,,,,,,print f'Dumping {args.size} bytes from {args.address}...',,,,print f'Dumping {args.size} bytes from {args.address}...'
SET_SEARCH = '\x03',2,,,,,,,,,,
ICON = '\x06',2,,,,,,,,,,
SET_BUSY = '\x16',2,,,,,,,,,,
"assert isinstance(ops, str), \",2,,,,,,,,,,
"if proxy.password: kwargs[u""password""] = proxy.password",2,,,,,"u""password""]",,,,,"u""password""]"
"return (u'Return',{u'value':p.expr})",2,,,,,"u'Return',{u'value':p.expr})",,,,,"u'Return',{u'value':p.expr})"
unicode.encode(path) + '\x00'  # NAME,2,,,,,,,,,,
"def name(self, value):",2,,,,,,,,,,
"def ramp_down(self, value):",2,,,,,,,,,,
timeout=self._DEFAULT_PARAMETERS[u'timeout']),2,,,,,u'timeout']),,,,,u'timeout'])
"0x82: u""SPS"",       0x83: u""PIPE"",        0x84: u""SCTP"",",2,,,,,"u""SPS"",",,,,,"u""SPS"","
SET_MINUTES = '\x07',2,,,,,,,,,,
"u'expr NE expr',",2,,,,,u'expr,,,,,u'expr
for i in xrange (len(self.iw_tmp)):,2,,,xrange (,,,,,,,xrange (
opObject_Trig = '\x06',2,,,,,,,,,,
def id(self):,2,,,,,,,,,,
tmp=u'The following scenes do not have the polarization you choose:\n\n',2,,,,,u'The,,,,,u'The
"def load(self, dfu, args):",2,,,,,,,,,,
RBRACE = ur'\}',2,,,,,,,,,,
"assert 0 <= val <= 1024, u""values must be in range [0 - 1024]""",2,,,,,"u""values",,,,,"u""values"
"length, rate = unpack(u'>2H', data[2:6])",2,,,,,"u'>2H',",,,,,"u'>2H',"
TYPE_SOUND = '\x02',2,,,,,,,,,,
WARNSIGN = '\x08',2,,,,,,,,,,
buf[:-1] = string.encode(u'utf8'),2,,,,,u'utf8'),,,,,u'utf8')
u'o',2,,,,,u'o',,,,,u'o'
u'no beacon channel has been set',2,,,,,u'no,,,,,u'no
SYSTEM_ILLEGAL_PATH = '\x06',2,,,,,,,,,,
"0x76: u""STP"",       0x77: u""SRP"",         0x78: u""UTI"",",2,,,,,"u""STP"",",,,,,"u""STP"","
"self.parser.epilog = u""Note: The Stats (-s/--stats) endpoint is rate-limited to 30 calls per hour.""",2,,,,,"u""Note:",,,,,"u""Note:"
u'brake': brake,2,,,,,u'brake':,,,,,u'brake':
os.makedirs(u'raw'),2,,,,,u'raw'),,,,,u'raw')
opOutput_Start = '\xA6',2,,,,,,,,,,
u'lang must be a str',2,,,,,u'lang,,,,,u'lang
path = u'../prjs/sound/txt',2,,,,,u'../prjs/sound/txt',,,,,u'../prjs/sound/txt'
"data = ''.join([data, self._read_memory_chunk(offset, part_size)])",2,,,,,,,,,,
"rc, handle = struct.unpack(u'sB', reply)",2,,,,,"u'sB',",,,,,"u'sB',"
"func,_ = self.variables[u'printf']",2,,,,,u'printf'],,,,,u'printf']
u'Error: {} failed after {} retries.'.format(,2,,,,,u'Error:,,,,,u'Error:
Expfloat = ur'[0-9](?:_?[0-9])*' + Exponent,2,,,,,,,,,,
"assert self._rgb_white_balance_raw is not None, u""no white_balance done""",2,,,,,"u""no",,,,,"u""no"
"assert channel in (None, 1, 2, 3, 4), u""incorrect channel""",2,,,,,"u""incorrect",,,,,"u""incorrect"
def maybe(*choices): return group(*choices) + u'?',2,,,,,u'?',,,,,u'?'
"u'size': u'Required size of memory to be ',",2,,,,,u'size':,,,,,u'size':
MOVE = '\x1F',2,,,,,,,,,,
"btn=tk.Button(self, text=u"" Next >"",command=lambda:Save())",2,,,,,"u"" Next",,,,,"u"" Next"
opAnd8 = '\x24',2,,,,,,,,,,
GET_FW_VERS = '\x0A',2,,,,,,,,,,
"group.add_argument(u""-P"", u""--protocol"", type = int, default = 0, help = u""Socket protocol."")",2,,,,,"u""-P"",",,,,,"u""-P"","
GET_VERSION = '\x1A',2,,,,,,,,,,
LED_RG = '\x02'  # Right green,2,,,,,,,,,,
SYSTEM_END_OF_FILE = '\x08',2,,,,,,,,,,
ops += ''.join((,2,,,,,,,,,,
opJr_GtF = '\x6B',2,,,,,,,,,,
"elif tone.startswith(u""g""):",2,,,,,"u""g""):",,,,,"u""g""):"
"u'speed': speed,",2,,,,,u'speed':,,,,,u'speed':
"tk.Button(self, text=u""Browse"", command=lambda *args:browse(3)),",2,,,,,"u""Browse"",",,,,,"u""Browse"","
if self._current_movement[u'op'] == u'Step_Speed':,2,,,,,u'op'],,,,,u'op']
"person.add_argument(u""--confidence"", type = unicode, default = u""high"", choices = [u""low"", u""med"", u""high"", u""max""], help = u""A confidence of max will return less data than usual, however, the data that is returned will have a higher likelihood of being correct. On the other hand, a confidence of low will return more data than usual, but makes the possibility of a mistake in that data more likely. med returns more data than high and less than low, with an error rate between the two."")",2,,,,,"u""--confidence"",",,,,,"u""--confidence"","
SIN = '\x0B'  # !<,2,,,,,,,,,,
"super(Touch, self).__del__()",2,,,,,,,,,,
"os.link(path_dem,u'dem.grd')",2,,,,,u'dem.grd'),,,,,u'dem.grd')
"u'<2i',",2,,,,,"u'<2i',",,,,,"u'<2i',"
[self._port][u'used_by'] = None,2,,,,,u'used_by'],,,,,u'used_by']
"self.ecn = u""Non-ECT"" if self.raw_ecn is 0 else (u""ECT(0)"" if self.raw_ecn is 2 else (u""ECT(1)"" if self.raw_ecn is 1 else u""CE""))",2,,,,,"u""Non-ECT""",,,,,"u""Non-ECT"""
@_(u'params COMMA param'),2,,,,,u'params,,,,,u'params
def connect_wifi(self):,2,,,,,,,,,,
"0x21: u""DCCP"",      0x22: u""3PC"",         0x23: u""IDPR"",",2,,,,,"u""DCCP"",",,,,,"u""DCCP"","
"if hole_lmc == u""?"" and shaft_lmc != u""?"" and clearance !=u""?"":",2,,,,,"u""?""",,,,,"u""?"""
SET_INSTR = '\x19',2,,,,,,,,,,
SICON_WIFI_1 = '\x0E',2,,,,,,,,,,
GET_BACK_BLOCK = '\x0B',2,,,,,,,,,,
"u'double':ir.DoubleType(),",2,,,,,"u'double':ir.DoubleType(),",,,,,"u'double':ir.DoubleType(),"
def sensors_as_dict(self):,2,,,,,,,,,,
opAnd16 = '\x25',2,,,,,,,,,,
RESTORE = '\x1A',2,,,,,,,,,,
else: direction =  1,2,,,,,,,,,,
"(u""raw_identification"", c_ushort),",2,,,,,"u""raw_identification"",",,,,,"u""raw_identification"","
"assert isinstance(value, int), u""polarity_right needs to be of type int""",2,,,,,"u""polarity_right",,,,,"u""polarity_right"
elif branch[0] == u'If':,2,,,,,u'If':,,,,,u'If':
"volume = self._physical_ev3._introspection[u""volume""]",2,,,,,"u""volume""]",,,,,"u""volume""]"
SYSTEM_SIZE_ERROR = '\x09',2,,,,,,,,,,
else: back =  False,2,,,,,,,,,,
"u""tread needs to be positive""",2,,,,,"u""tread",,,,,"u""tread"
opInput_Sample = '\x97',2,,,,,,,,,,
opOutput_Stop = '\xA3',2,,,,,,,,,,
u':'.join(u'{:02X}'.format(byte) for byte in msg_cnt) +,2,,,,,u':'.join(u'{:02X}'.format(byte),,,,,u':'.join(u'{:02X}'.format(byte)
brake = _3to2kwargs['brake']; del _3to2kwargs['brake'],2,,,,,,,,,,
labelColStyle = u''',2,,,,,u''',,,,,u'''
last_pos_outer = cur_mov[u'last_motor_pos'][0],2,,,,,u'last_motor_pos'][0],,,,,u'last_motor_pos'][0]
ICON_RIGHT = '\x02',2,,,,,,,,,,
LN = '\x0A'  # !< Ln r = log(x),2,,,,,,,,,,
g.write(u'#!/bin/csh -f\n'+u'cd raw\n\n'),2,,,,,u'#!/bin/csh,,,,,u'#!/bin/csh
"if tone.startswith(u""c""):",2,,,,,"u""c""):",,,,,"u""c""):"
self.groupBox1 = QGroupBox(u''),2,,,,,u''),,,,,u'')
"self._physical_ev3._introspection[u""hw_vers""]",2,,,,,"u""hw_vers""]",,,,,"u""hw_vers""]"
else: global_mem =  0,2,,,,,,,,,,
"kwargs = {u""family"": socket.AF_INET6 if self.arguments.ipv6 else socket.AF_INET,",2,,,,,"u""family"":",,,,,"u""family"":"
CREATEF = '\x04',2,,,,,,,,,,
"certificate.get(u""subject_dn""))",2,,,,,"u""subject_dn""))",,,,,"u""subject_dn""))"
print f'MCU will be running from {args.address}.',2,,,,,,print f'MCU will be running from {args.address}.',,,,print f'MCU will be running from {args.address}.'
u'tone is too low: ' + tone + u' (' + unicode(freq) + u' Hz)',2,,,,,u'tone,,unicode(,,,u'tone unicode(
if 'volume' in _3to2kwargs: volume = _3to2kwargs['volume']; del _3to2kwargs['volume'],2,,,,,,,,,,
BTTYPE_PC = '\x03'  # Bluetooth type PC,2,,,,,,,,,,
raise ValueError(u'undefined value: ' + unicode(values[n])),2,,,,,u'undefined,,unicode(,,,u'undefined unicode(
"scale2.config(state=u""disabled"")",2,,,,,"u""disabled"")",,,,,"u""disabled"")"
"super(sniffer, self).__init__(*args, **kwargs)",2,,,,,,,,,,
"assert value > 0, u""temperament needs to be positive""",2,,,,,"u""temperament",,,,,"u""temperament"
DATA_S = '\x04'  # Zero terminated string,2,,,,,,,,,,
help=u'Serial port file (for example: /dev/ttyUSB0).'),2,,,,,u'Serial,,,,,u'Serial
GET_SDCARD = '\x1E',2,,,,,,,,,,
self.atemVal2.setText((data[1]) +  u' °' ),2,,,,,u' °',,,,,u' °'
"assert value == 0, u'position can be set to zero only'",2,,,,,u'position,,,,,u'position
"u""polarity_left needs to be -1 or 1""",2,,,,,"u""polarity_left",,,,,"u""polarity_left"
"return bs4.BeautifulSoup(response.content, u""lxml"")",2,,,,,"u""lxml"")",,,,,"u""lxml"")"
else: local_mem =  0,2,,,,,,,,,,
"u'op': u'Step_Speed',",2,,,,,u'op':,,,,,u'op':
"ur'\d\d:\d\d:\d\d\.\d{6}',",2,,,,,,,,,,
"u""repeat must be a bool""",2,,,,,"u""repeat",,,,,"u""repeat"
WARN_POWER = '\x0A',2,,,,,,,,,,
if 'sync_mode' in _3to2kwargs: sync_mode = _3to2kwargs['sync_mode']; del _3to2kwargs['sync_mode'],2,,,,,,,,,,
"assert sync_mode is None or isinstance(sync_mode, unicode), \",2,,,,,,,,,,
"@_retry(_RETRIES, u'get dfu version', _serial_flush)",2,,,,,u'get,,,,,u'get
"super(TwoWheelVehicle, self).__exit__(exc_type, exc_value, exc_traceback)",2,,,,,,,,,,
opCp_Lt8 = '\x44'  # COMPARE,2,,,,,,,,,,
DATA_V = '\x07'  # Variable type,2,,,,,,,,,,
else: ramp_down_time =  0.15,2,,,,,,,,,,
opRandom = '\x8E',2,,,,,,,,,,
"folder = path.rsplit(u""/"", 1)[1]",2,,,,,"u""/"",",,,,,"u""/"","
"0x5F: u""MICP"",      0x60: u""SCC-SP"",      0x61: u""ETHERIP"",",2,,,,,"u""MICP"",",,,,,"u""MICP"","
"self._introspection[u""sensors""] = {}",2,,,,,"u""sensors""]",,,,,"u""sensors""]"
CAL_MIN = '\x07',2,,,,,,,,,,
self._send_command(self._COMMAND[u'get version']),2,,,,,u'get,,,,,u'get
[port_motor_input(self._port_left)][u'used_by'] = self,2,,,,,u'used_by'],,,,,u'used_by']
GET_BUMBED = '\x0E',2,,,,,,,,,,
speed = self._current_movement[u'speed'],2,,,,,u'speed'],,,,,u'speed']
"u'Directory for Sentinel-1 data ',",2,,,,,u'Directory,,,,,u'Directory
"fields = [u""parsed.subject_dn"", u""parsed.names"", u""parsed.fingerprint_sha256"", u""parsed.subject.common_name""]",2,,,,,"u""parsed.subject_dn"",",,,,,"u""parsed.subject_dn"","
print u'Validating firmware...',2,,,,,u'Validating,print u'Validating firmware...',,,,u'Validating print u'Validating firmware...'
u'volume needs to be of type int',2,,,,,u'volume,,,,,u'volume
self.ser.write('x'),2,,,,,,,,,,
self.portLabel = QLabel(u'Port: '),2,,,,,u'Port:,,,,,u'Port:
"(u""a'"", 1),",2,,,,,"u""a'"",",,,,,"u""a'"","
"label=tk.Label(self, text=u'File name for step 2.')",2,,,,,u'File,,,,,u'File
step1 = cur_mov[u'step1_right'],2,,,,,u'step1_right'],,,,,u'step1_right']
elif op == u'-':,2,,,,,u'-':,,,,,u'-':
opError = '\x00'  # VM,2,,,,,,,,,,
"literals = set([u',',u';'])",2,,,,,"u',',u';'])",,,,,"u',',u';'])"
cmd = ''.join((,2,,,,,,,,,,
u'xx:xx:xx.xxxxxx Sent 0x|06:00|2D:00|80|00:00|01|' + u'\n',2,,,,,u'xx:xx:xx.xxxxxx,,,,,u'xx:xx:xx.xxxxxx
assert captured.err == u'',2,,,,,u'',,,,,u''
opOutput_Read = '\xA8',2,,,,,,,,,,
"name.add_argument(u""--location"", type = unicode, help = u""If supplied, only companies matching given location will be returned. The location is a general location where one can include any combination of locality, region or country as input. For example, --location=Denver, CO."")",2,,,,,"u""--location"",",,,,,"u""--location"","
"u'<2i2B',",2,,,,,"u'<2i2B',",,,,,"u'<2i2B',"
else: lang =  u'en',2,,,,,u'en',,,,,u'en'
@_(u'NAME EQ expr'),2,,,,,u'NAME,,,,,u'NAME
ops = ''.join((,2,,,,,,,,,,
"(u""raw_total_length"", c_ushort),",2,,,,,"u""raw_total_length"",",,,,,"u""raw_total_length"","
"person = self.parser.add_argument_group(u""Person API"")",2,,,,,"u""Person",,,,,"u""Person"
"raise ValueError(u""Invalid port: %s"" % port)",2,,,,,"u""Invalid",,,,,"u""Invalid"
"ur'Protocol: (\w+)',",2,,,,,,,,,,
opMove32_32 = '\x3A',2,,,,,,,,,,
opOutput_Reset = '\xA2',2,,,,,,,,,,
"u'os_version',",2,,,,,"u'os_version',",,,,,"u'os_version',"
port_str = u'PORT_C',2,,,,,u'PORT_C',,,,,u'PORT_C'
filename1=u'sensor_output.csv',2,,,,,u'sensor_output.csv',,,,,u'sensor_output.csv'
"u""Module"": u""@blackviruscript""}",2,,,,,"u""Module"":",,,,,"u""Module"":"
LEFT_BUTTON = '\x05',2,,,,,,,,,,
"name = self.parser.add_argument_group(u""Name Lookup"")",2,,,,,"u""Name",,,,,"u""Name"
"u""speed must be an int""",2,,,,,"u""speed",,,,,"u""speed"
SICON_WIFI_3 = '\x0C',2,,,,,,,,,,
g.write(u'preproc_batch_tops.csh data.in dem.grd 2\n'),2,,,,,u'preproc_batch_tops.csh,,,,,u'preproc_batch_tops.csh
MAKE_FOLDER = '\x0A',2,,,,,,,,,,
NUMBER_TO_STRING = '\x09',2,,,,,,,,,,
kwargs={u'check': True},2,,,,,u'check':,,,,,u'check':
"CE = __builtins__.long(""11"", 2)     # Congestion Encountered, CE",2,,,,,,,,,,
"freq, **_3to2kwargs",2,,,,,,,,,,
"raise serial.SerialException(u""Can't open serial port."")",2,,,,,"u""Can't",,,,,"u""Can't"
"dist = struct.unpack(u'<i', reply)[0]",2,,,,,"u'<i',",,,,,"u'<i',"
"actions.add_argument(u""-e"", u""--email"", type = unicode, metavar = u""address"", help = u""Request information about a specific person by email."")",2,,,,,"u""-e"",",,,,,"u""-e"","
GUI_SLOT = '\x00',2,,,,,,,,,,
"elif port != u""default"" and not stem.util.connection.is_valid_port(port):",2,,,,,"u""default""",,,,,"u""default"""
else: host =  None,2,,,,,,,,,,
Test = branch[1][u'test'],2,,,,,u'test'],,,,,u'test']
"u""end of file "" +",2,,,,,"u""end",,,,,"u""end"
DEL_RETURN = '\x03'  # Use return as delimiter,2,,,,,,,,,,
"msg_cnt,",2,,,,,,,,,,
GET_CACHE_FILE = '\x16',2,,,,,,,,,,
ICON_CONNECTIONS = '\x0B',2,,,,,,,,,,
"print u""Both hole values must either a number or ?""",2,,,,,"u""Both","print u""Both hole values must either a number or ?""",,,,"u""Both print u""Both hole values must either a number or ?"""
DEL_NONE = '\x00'  # No delimiter at all,2,,,,,,,,,,
"VehiclePosition = namedtuple(u'VehiclePosition', [",2,,,,,"u'VehiclePosition',",,,,,"u'VehiclePosition',"
BROWSE_FILES = '\x03'  # files,2,,,,,,,,,,
u'No WiFi connection to ' +,2,,,,,u'No,,,,,u'No
"assert isinstance(val, Number), u""white_balance must be 3 numbers""",2,,,,,"u""white_balance",,,,,"u""white_balance"
opFilename = '\xC6',2,,,,,,,,,,
[self._port][u'used_by'] is not None:,2,,,,,u'used_by'],,,,,u'used_by']
"kwargs={u'repeat': True, u'volume': volume},",2,,,,,u'repeat':,,,,,u'repeat':
"label.grid(row=0, column=0, columnspan=3, sticky=u'w')",2,,,,,u'w'),,,,,u'w')
for current_retry in xrange(retry_num):,2,,,xrange(,,,,,,,xrange(
"self.parser.add_argument(u""-s"", u""--source"", type=unicode, default=socket.gethostbyname(socket.gethostname()), help=u""Source address."")",2,,,,,"u""-s"",",,,,,"u""-s"","
DEL_COLON = '\x04'  # Use colon as delimiter,2,,,,,,,,,,
self.setWindowTitle(u'Biology Experiment'),2,,,,,u'Biology,,,,,u'Biology
"msg_cnt, **_3to2kwargs",2,,,,,,,,,,
"u""delta_time needs to be a number""",2,,,,,"u""delta_time",,,,,"u""delta_time"
opAdd8 = '\x10'  # MATH,2,,,,,,,,,,
"person.add_argument(u""--macromeasures"", action = u""store_true"", help = u""Power the Person API's ability for providing affinity data about individuals."")",2,,,,,"u""--macromeasures"",",,,,,"u""--macromeasures"","
"u'TwoWheelVehicle',",2,,,,,"u'TwoWheelVehicle',",,,,,"u'TwoWheelVehicle',"
"u'step3_left': step3_left,",2,,,,,u'step3_left':,,,,,u'step3_left':
"packet = u"" "".join(rtp_packet)",2,,,,,"u"" "".join(rtp_packet)",,,,,"u"" "".join(rtp_packet)"
TEXTBOX_APPEND = '\x15',2,,,,,,,,,,
STOP_ALL = '\x0D',2,,,,,,,,,,
BROWSE_FOLDERS = '\x00'  # folders,2,,,,,,,,,,
opKeep_Alive = '\x90'  # UI,2,,,,,,,,,,
opProbe = '\x0E',2,,,,,,,,,,
u'for specified size and memory map.'),2,,,,,u'for,,,,,u'for
CEIL = '\x04'  # !< Ceiling r = ceil(x),2,,,,,,,,,,
"self.controller.show_frame(u""Step1"")",2,,,,,"u""Step1"")",,,,,"u""Step1"")"
"u""local_mem needs to be positive""",2,,,,,"u""local_mem",,,,,"u""local_mem"
DIVIDE = ur'/',2,,,,,,,,,,
''.join((,2,,,,,,,,,,
else: pause = 0,2,,,,,,,,,,
NAME[u'break'] = BREAK,2,,,,,u'break'],,,,,u'break']
opDivF = '\x1F',2,,,,,,,,,,
"parameters = ''.join([mass_erase, self._checksum(mass_erase)])",2,,,,,,,,,,
"self._current_movement[u'target_motor_pos'],",2,,,,,"u'target_motor_pos'],",,,,,"u'target_motor_pos'],"
ICON_OBP = '\x1F',2,,,,,,,,,,
"protocols = {0x00: u""HOPOPT"",    0x01: u""ICMP"",        0x02: u""IGMP"",",2,,,,,"u""HOPOPT"",",,,,,"u""HOPOPT"","
"self.parser.add_argument(u""--tcp"", action=u""store_true"", help=u""Use TCP to make the query."")",2,,,,,"u""--tcp"",",,,,,"u""--tcp"","
opSelectF = '\x5F',2,,,,,,,,,,
"value.split('\x00')[0].decode(u""utf8"")",2,,,,,"u""utf8"")",,,,,"u""utf8"")"
"else: prefix =  u""""",2,,,,,"u""""",,,,,"u"""""
"def rgb_white_balance(self, raw):",2,,,,,,,,,,
KEY = '\x0F',2,,,,,,,,,,
LOG = '\x09'  # !< Log r = log10(x),2,,,,,,,,,,
opTimer_Ready = '\x86',2,,,,,,,,,,
"ECT = (__builtins__.long(""10"", 2),  # ECN Capable Transport, ECT(0)",2,,,,,,,,,,
SICON_BATT_3 = '\x02',2,,,,,,,,,,
ICON_DOWN = '\x13',2,,,,,,,,,,
help=_ARGS_HELP[u'run']),2,,,,,u'run']),,,,,u'run'])
TEXT = '\x05',2,,,,,,,,,,
u'degrees must be an int value',2,,,,,u'degrees,,,,,u'degrees
u'-'  # write to stdout,2,,,,,u'-',,,,,u'-'
u'speed must be an int value',2,,,,,u'speed,,,,,u'speed
SYSTEM_NO_HANDLES_AVAILABLE = '\x04',2,,,,,,,,,,
opArray_Write = '\xC2',2,,,,,,,,,,
opObject_Call = '\x09',2,,,,,,,,,,
"os.link(path_s1a_cal,u's1a-aux-cal.xml')",2,,,,,u's1a-aux-cal.xml'),,,,,u's1a-aux-cal.xml')
u'path_source needs to be of type str',2,,,,,u'path_source,,,,,u'path_source
opOutput_Set_Type = '\xA1',2,,,,,,,,,,
"def stop(self, **_3to2kwargs):",2,,,,,,,,,,
POPUP = '\x1D',2,,,,,,,,,,
"(u'left', TIMES, DIVIDE),",2,,,,,"u'left',",,,,,"u'left',"
entry = engine.get_function_address(u'main'),2,,,,,u'main'),,,,,u'main')
"u'<f',",2,,,,,"u'<f',",,,,,"u'<f',"
tmp = dev[u'serial_number'].upper(),2,,,,,u'serial_number'].upper(),,,,,u'serial_number'].upper()
tmp_index=tmp.find(u'T'),2,,,,,u'T'),,,,,u'T')
os.chdir(u'topo'),2,,,,,u'topo'),,,,,u'topo')
tmp1=Dir_EOF+u'/'+S1AB+u'*'+info1+u'*'+info2+u'*',2,,,,,u'/'+S1AB+u'*'+info1+u'*'+info2+u'*',,,,,u'/'+S1AB+u'*'+info1+u'*'+info2+u'*'
"except Exception, e:",2,,,,,,,,,,
elif line.endswith('\x2F'):,2,,,,,,,,,,
from itertools import ifilter,2,,,,,,,,,,
tmp=tmp+u'\n\nThey are removed from the selection.',2,,,,,u'\n\nThey,,,,,u'\n\nThey
u' Sent 0x|' +,2,,,,,u' Sent,,,,,u' Sent
"u""speed needs to be in range [-100 - 100]""",2,,,,,"u""speed",,,,,"u""speed"
_DIRECT_COMMAND_REPLY = '\x00',2,,,,,,,,,,
"assert u'tones' in song, \",2,,,,,u'tones',,,,,u'tones'
opPort_Cnv_Input = '\x62',2,,,,,,,,,,
port_settings[u'timeout'] = self._DEFAULT_PARAMETERS[u'timeout'],2,,,,,u'timeout'],,,,,u'timeout']
"with open(sys.argv[1],u'r') as file:",2,,,,,u'r'),,,,,u'r')
"u'extended erase': 0x44,",2,,,,,u'extended,,,,,u'extended
"path, **_3to2kwargs",2,,,,,,,,,,
opInput_Device_List = '\x98',2,,,,,,,,,,
GET_CHANGES = '\x19',2,,,,,,,,,,
ENTER_BUTTON = '\x02',2,,,,,,,,,,
"u""error "" +",2,,,,,"u""error",,,,,"u""error"
LED_RR = '\x01'  # Right red,2,,,,,,,,,,
READ_TEXT = '\x05',2,,,,,,,,,,
"fileName, _ = QFileDialog.getSaveFileName(self,u""QFileDialog.getSaveFileName()"",u"""",u""CSV Files (*.csv)"", options=options)",2,,,,,"u""QFileDialog.getSaveFileName()"",u"""",u""CSV",,,,,"u""QFileDialog.getSaveFileName()"",u"""",u""CSV"
"System = namedtuple(u'System', [",2,,,,,"u'System',",,,,,"u'System',"
"label=u'min. day interval',",2,,,,,u'min.,,,,,u'min.
WAITING = '\x20'  # Object is waiting for final trigger,2,,,,,,,,,,
"u""speed needs to be lower or equal 100""",2,,,,,"u""speed",,,,,"u""speed"
"(u""a'"", 2),",2,,,,,"u""a'"",",,,,,"u""a'"","
